tau_1,tau_2,patch_acc_multi,patch_f1_macro,patch_pre_macro,patch_rec_macro,patch_f1_weighted,patch_pre_weighted,patch_rec_weighted,patch_f1_micro,patch_acc_bin,patch_f1_bin,patch_pre_bin,patch_rec_bin
0.09,0.0,0.9678,0.8509,0.8961,0.8201,0.9665,0.9676,0.9678,0.9678,0.9754,0.8908,0.9464,0.8413
0.09,0.01,0.8788,0.6803,0.6142,0.8367,0.9002,0.9384,0.8788,0.8788,0.8902,0.6667,0.5225,0.9206
0.09,0.02,0.9299,0.7504,0.6913,0.845,0.937,0.9495,0.9299,0.9299,0.9413,0.7891,0.6905,0.9206
0.09,0.03,0.9508,0.7951,0.7546,0.8484,0.9535,0.958,0.9508,0.9508,0.9621,0.8529,0.7945,0.9206
0.09,0.04,0.9564,0.8071,0.7849,0.8367,0.9578,0.9601,0.9564,0.9564,0.9678,0.8702,0.8382,0.9048
0.09,0.05,0.9621,0.8235,0.8277,0.8376,0.963,0.9664,0.9621,0.9621,0.9735,0.8906,0.8769,0.9048
0.09,0.06,0.9659,0.8493,0.8597,0.8557,0.9661,0.9686,0.9659,0.9659,0.9735,0.8889,0.8889,0.8889
0.09,0.07,0.9678,0.856,0.8708,0.8561,0.9677,0.9698,0.9678,0.9678,0.9754,0.896,0.9032,0.8889
0.09,0.08,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.09,0.09,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.1,0.0,0.9678,0.8509,0.8961,0.8201,0.9665,0.9676,0.9678,0.9678,0.9754,0.8908,0.9464,0.8413
0.1,0.01,0.8788,0.6803,0.6142,0.8367,0.9002,0.9384,0.8788,0.8788,0.8902,0.6667,0.5225,0.9206
0.1,0.02,0.9299,0.7504,0.6913,0.845,0.937,0.9495,0.9299,0.9299,0.9413,0.7891,0.6905,0.9206
0.1,0.03,0.9508,0.7951,0.7546,0.8484,0.9535,0.958,0.9508,0.9508,0.9621,0.8529,0.7945,0.9206
0.1,0.04,0.9564,0.8071,0.7849,0.8367,0.9578,0.9601,0.9564,0.9564,0.9678,0.8702,0.8382,0.9048
0.1,0.05,0.9621,0.8235,0.8277,0.8376,0.963,0.9664,0.9621,0.9621,0.9735,0.8906,0.8769,0.9048
0.1,0.06,0.9659,0.8493,0.8597,0.8557,0.9661,0.9686,0.9659,0.9659,0.9735,0.8889,0.8889,0.8889
0.1,0.07,0.9678,0.856,0.8708,0.8561,0.9677,0.9698,0.9678,0.9678,0.9754,0.896,0.9032,0.8889
0.1,0.08,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.1,0.09,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.1,0.1,0.9678,0.8539,0.8824,0.8385,0.9675,0.9692,0.9678,0.9678,0.9754,0.8943,0.9167,0.873
0.11,0.0,0.9678,0.8509,0.8961,0.8201,0.9665,0.9676,0.9678,0.9678,0.9754,0.8908,0.9464,0.8413
0.11,0.01,0.8788,0.6803,0.6142,0.8367,0.9002,0.9384,0.8788,0.8788,0.8902,0.6667,0.5225,0.9206
0.11,0.02,0.9299,0.7504,0.6913,0.845,0.937,0.9495,0.9299,0.9299,0.9413,0.7891,0.6905,0.9206
0.11,0.03,0.9508,0.7951,0.7546,0.8484,0.9535,0.958,0.9508,0.9508,0.9621,0.8529,0.7945,0.9206
0.11,0.04,0.9564,0.8071,0.7849,0.8367,0.9578,0.9601,0.9564,0.9564,0.9678,0.8702,0.8382,0.9048
0.11,0.05,0.9621,0.8235,0.8277,0.8376,0.963,0.9664,0.9621,0.9621,0.9735,0.8906,0.8769,0.9048
0.11,0.06,0.9659,0.8493,0.8597,0.8557,0.9661,0.9686,0.9659,0.9659,0.9735,0.8889,0.8889,0.8889
0.11,0.07,0.9678,0.856,0.8708,0.8561,0.9677,0.9698,0.9678,0.9678,0.9754,0.896,0.9032,0.8889
0.11,0.08,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.11,0.09,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.11,0.1,0.9678,0.8539,0.8824,0.8385,0.9675,0.9692,0.9678,0.9678,0.9754,0.8943,0.9167,0.873
0.11,0.11,0.9659,0.8481,0.8813,0.829,0.9655,0.9672,0.9659,0.9659,0.9735,0.8852,0.9153,0.8571
0.12,0.0,0.9678,0.8509,0.8961,0.8201,0.9665,0.9676,0.9678,0.9678,0.9754,0.8908,0.9464,0.8413
0.12,0.01,0.8788,0.6803,0.6142,0.8367,0.9002,0.9384,0.8788,0.8788,0.8902,0.6667,0.5225,0.9206
0.12,0.02,0.9299,0.7504,0.6913,0.845,0.937,0.9495,0.9299,0.9299,0.9413,0.7891,0.6905,0.9206
0.12,0.03,0.9508,0.7951,0.7546,0.8484,0.9535,0.958,0.9508,0.9508,0.9621,0.8529,0.7945,0.9206
0.12,0.04,0.9564,0.8071,0.7849,0.8367,0.9578,0.9601,0.9564,0.9564,0.9678,0.8702,0.8382,0.9048
0.12,0.05,0.9621,0.8235,0.8277,0.8376,0.963,0.9664,0.9621,0.9621,0.9735,0.8906,0.8769,0.9048
0.12,0.06,0.9659,0.8493,0.8597,0.8557,0.9661,0.9686,0.9659,0.9659,0.9735,0.8889,0.8889,0.8889
0.12,0.07,0.9678,0.856,0.8708,0.8561,0.9677,0.9698,0.9678,0.9678,0.9754,0.896,0.9032,0.8889
0.12,0.08,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.12,0.09,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.12,0.1,0.9678,0.8539,0.8824,0.8385,0.9675,0.9692,0.9678,0.9678,0.9754,0.8943,0.9167,0.873
0.12,0.11,0.9659,0.8481,0.8813,0.829,0.9655,0.9672,0.9659,0.9659,0.9735,0.8852,0.9153,0.8571
0.12,0.12,0.9659,0.8481,0.8813,0.829,0.9655,0.9672,0.9659,0.9659,0.9735,0.8852,0.9153,0.8571
0.13,0.0,0.9678,0.8509,0.8961,0.8201,0.9665,0.9676,0.9678,0.9678,0.9754,0.8908,0.9464,0.8413
0.13,0.01,0.8788,0.6803,0.6142,0.8367,0.9002,0.9384,0.8788,0.8788,0.8902,0.6667,0.5225,0.9206
0.13,0.02,0.9299,0.7504,0.6913,0.845,0.937,0.9495,0.9299,0.9299,0.9413,0.7891,0.6905,0.9206
0.13,0.03,0.9508,0.7951,0.7546,0.8484,0.9535,0.958,0.9508,0.9508,0.9621,0.8529,0.7945,0.9206
0.13,0.04,0.9564,0.8071,0.7849,0.8367,0.9578,0.9601,0.9564,0.9564,0.9678,0.8702,0.8382,0.9048
0.13,0.05,0.9621,0.8235,0.8277,0.8376,0.963,0.9664,0.9621,0.9621,0.9735,0.8906,0.8769,0.9048
0.13,0.06,0.9659,0.8493,0.8597,0.8557,0.9661,0.9686,0.9659,0.9659,0.9735,0.8889,0.8889,0.8889
0.13,0.07,0.9678,0.856,0.8708,0.8561,0.9677,0.9698,0.9678,0.9678,0.9754,0.896,0.9032,0.8889
0.13,0.08,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.13,0.09,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.13,0.1,0.9678,0.8539,0.8824,0.8385,0.9675,0.9692,0.9678,0.9678,0.9754,0.8943,0.9167,0.873
0.13,0.11,0.9659,0.8481,0.8813,0.829,0.9655,0.9672,0.9659,0.9659,0.9735,0.8852,0.9153,0.8571
0.13,0.12,0.9659,0.8481,0.8813,0.829,0.9655,0.9672,0.9659,0.9659,0.9735,0.8852,0.9153,0.8571
0.13,0.13,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.14,0.0,0.9678,0.8509,0.8961,0.8201,0.9665,0.9676,0.9678,0.9678,0.9754,0.8908,0.9464,0.8413
0.14,0.01,0.8788,0.6803,0.6142,0.8367,0.9002,0.9384,0.8788,0.8788,0.8902,0.6667,0.5225,0.9206
0.14,0.02,0.9299,0.7504,0.6913,0.845,0.937,0.9495,0.9299,0.9299,0.9413,0.7891,0.6905,0.9206
0.14,0.03,0.9508,0.7951,0.7546,0.8484,0.9535,0.958,0.9508,0.9508,0.9621,0.8529,0.7945,0.9206
0.14,0.04,0.9564,0.8071,0.7849,0.8367,0.9578,0.9601,0.9564,0.9564,0.9678,0.8702,0.8382,0.9048
0.14,0.05,0.9621,0.8235,0.8277,0.8376,0.963,0.9664,0.9621,0.9621,0.9735,0.8906,0.8769,0.9048
0.14,0.06,0.9659,0.8493,0.8597,0.8557,0.9661,0.9686,0.9659,0.9659,0.9735,0.8889,0.8889,0.8889
0.14,0.07,0.9678,0.856,0.8708,0.8561,0.9677,0.9698,0.9678,0.9678,0.9754,0.896,0.9032,0.8889
0.14,0.08,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.14,0.09,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.14,0.1,0.9678,0.8539,0.8824,0.8385,0.9675,0.9692,0.9678,0.9678,0.9754,0.8943,0.9167,0.873
0.14,0.11,0.9659,0.8481,0.8813,0.829,0.9655,0.9672,0.9659,0.9659,0.9735,0.8852,0.9153,0.8571
0.14,0.12,0.9659,0.8481,0.8813,0.829,0.9655,0.9672,0.9659,0.9659,0.9735,0.8852,0.9153,0.8571
0.14,0.13,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.14,0.14,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.15,0.0,0.9678,0.8509,0.8961,0.8201,0.9665,0.9676,0.9678,0.9678,0.9754,0.8908,0.9464,0.8413
0.15,0.01,0.8788,0.6803,0.6142,0.8367,0.9002,0.9384,0.8788,0.8788,0.8902,0.6667,0.5225,0.9206
0.15,0.02,0.9299,0.7504,0.6913,0.845,0.937,0.9495,0.9299,0.9299,0.9413,0.7891,0.6905,0.9206
0.15,0.03,0.9508,0.7951,0.7546,0.8484,0.9535,0.958,0.9508,0.9508,0.9621,0.8529,0.7945,0.9206
0.15,0.04,0.9564,0.8071,0.7849,0.8367,0.9578,0.9601,0.9564,0.9564,0.9678,0.8702,0.8382,0.9048
0.15,0.05,0.9621,0.8235,0.8277,0.8376,0.963,0.9664,0.9621,0.9621,0.9735,0.8906,0.8769,0.9048
0.15,0.06,0.9659,0.8493,0.8597,0.8557,0.9661,0.9686,0.9659,0.9659,0.9735,0.8889,0.8889,0.8889
0.15,0.07,0.9678,0.856,0.8708,0.8561,0.9677,0.9698,0.9678,0.9678,0.9754,0.896,0.9032,0.8889
0.15,0.08,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.15,0.09,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.15,0.1,0.9678,0.8539,0.8824,0.8385,0.9675,0.9692,0.9678,0.9678,0.9754,0.8943,0.9167,0.873
0.15,0.11,0.9659,0.8481,0.8813,0.829,0.9655,0.9672,0.9659,0.9659,0.9735,0.8852,0.9153,0.8571
0.15,0.12,0.9659,0.8481,0.8813,0.829,0.9655,0.9672,0.9659,0.9659,0.9735,0.8852,0.9153,0.8571
0.15,0.13,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.15,0.14,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.15,0.15,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.16,0.0,0.9678,0.8509,0.8961,0.8201,0.9665,0.9676,0.9678,0.9678,0.9754,0.8908,0.9464,0.8413
0.16,0.01,0.8788,0.6803,0.6142,0.8367,0.9002,0.9384,0.8788,0.8788,0.8902,0.6667,0.5225,0.9206
0.16,0.02,0.9299,0.7504,0.6913,0.845,0.937,0.9495,0.9299,0.9299,0.9413,0.7891,0.6905,0.9206
0.16,0.03,0.9508,0.7951,0.7546,0.8484,0.9535,0.958,0.9508,0.9508,0.9621,0.8529,0.7945,0.9206
0.16,0.04,0.9564,0.8071,0.7849,0.8367,0.9578,0.9601,0.9564,0.9564,0.9678,0.8702,0.8382,0.9048
0.16,0.05,0.9621,0.8235,0.8277,0.8376,0.963,0.9664,0.9621,0.9621,0.9735,0.8906,0.8769,0.9048
0.16,0.06,0.9659,0.8493,0.8597,0.8557,0.9661,0.9686,0.9659,0.9659,0.9735,0.8889,0.8889,0.8889
0.16,0.07,0.9678,0.856,0.8708,0.8561,0.9677,0.9698,0.9678,0.9678,0.9754,0.896,0.9032,0.8889
0.16,0.08,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.16,0.09,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.16,0.1,0.9678,0.8539,0.8824,0.8385,0.9675,0.9692,0.9678,0.9678,0.9754,0.8943,0.9167,0.873
0.16,0.11,0.9659,0.8481,0.8813,0.829,0.9655,0.9672,0.9659,0.9659,0.9735,0.8852,0.9153,0.8571
0.16,0.12,0.9659,0.8481,0.8813,0.829,0.9655,0.9672,0.9659,0.9659,0.9735,0.8852,0.9153,0.8571
0.16,0.13,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.16,0.14,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.16,0.15,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.16,0.16,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.17,0.0,0.9678,0.8509,0.8961,0.8201,0.9665,0.9676,0.9678,0.9678,0.9754,0.8908,0.9464,0.8413
0.17,0.01,0.8788,0.6803,0.6142,0.8367,0.9002,0.9384,0.8788,0.8788,0.8902,0.6667,0.5225,0.9206
0.17,0.02,0.9299,0.7504,0.6913,0.845,0.937,0.9495,0.9299,0.9299,0.9413,0.7891,0.6905,0.9206
0.17,0.03,0.9508,0.7951,0.7546,0.8484,0.9535,0.958,0.9508,0.9508,0.9621,0.8529,0.7945,0.9206
0.17,0.04,0.9564,0.8071,0.7849,0.8367,0.9578,0.9601,0.9564,0.9564,0.9678,0.8702,0.8382,0.9048
0.17,0.05,0.9621,0.8235,0.8277,0.8376,0.963,0.9664,0.9621,0.9621,0.9735,0.8906,0.8769,0.9048
0.17,0.06,0.9659,0.8493,0.8597,0.8557,0.9661,0.9686,0.9659,0.9659,0.9735,0.8889,0.8889,0.8889
0.17,0.07,0.9678,0.856,0.8708,0.8561,0.9677,0.9698,0.9678,0.9678,0.9754,0.896,0.9032,0.8889
0.17,0.08,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.17,0.09,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.17,0.1,0.9678,0.8539,0.8824,0.8385,0.9675,0.9692,0.9678,0.9678,0.9754,0.8943,0.9167,0.873
0.17,0.11,0.9659,0.8481,0.8813,0.829,0.9655,0.9672,0.9659,0.9659,0.9735,0.8852,0.9153,0.8571
0.17,0.12,0.9659,0.8481,0.8813,0.829,0.9655,0.9672,0.9659,0.9659,0.9735,0.8852,0.9153,0.8571
0.17,0.13,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.17,0.14,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.17,0.15,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.17,0.16,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.17,0.17,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.18,0.0,0.9678,0.8509,0.8961,0.8201,0.9665,0.9676,0.9678,0.9678,0.9754,0.8908,0.9464,0.8413
0.18,0.01,0.8788,0.6803,0.6142,0.8367,0.9002,0.9384,0.8788,0.8788,0.8902,0.6667,0.5225,0.9206
0.18,0.02,0.9299,0.7504,0.6913,0.845,0.937,0.9495,0.9299,0.9299,0.9413,0.7891,0.6905,0.9206
0.18,0.03,0.9508,0.7951,0.7546,0.8484,0.9535,0.958,0.9508,0.9508,0.9621,0.8529,0.7945,0.9206
0.18,0.04,0.9564,0.8071,0.7849,0.8367,0.9578,0.9601,0.9564,0.9564,0.9678,0.8702,0.8382,0.9048
0.18,0.05,0.9621,0.8235,0.8277,0.8376,0.963,0.9664,0.9621,0.9621,0.9735,0.8906,0.8769,0.9048
0.18,0.06,0.9659,0.8493,0.8597,0.8557,0.9661,0.9686,0.9659,0.9659,0.9735,0.8889,0.8889,0.8889
0.18,0.07,0.9678,0.856,0.8708,0.8561,0.9677,0.9698,0.9678,0.9678,0.9754,0.896,0.9032,0.8889
0.18,0.08,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.18,0.09,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.18,0.1,0.9678,0.8539,0.8824,0.8385,0.9675,0.9692,0.9678,0.9678,0.9754,0.8943,0.9167,0.873
0.18,0.11,0.9659,0.8481,0.8813,0.829,0.9655,0.9672,0.9659,0.9659,0.9735,0.8852,0.9153,0.8571
0.18,0.12,0.9659,0.8481,0.8813,0.829,0.9655,0.9672,0.9659,0.9659,0.9735,0.8852,0.9153,0.8571
0.18,0.13,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.18,0.14,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.18,0.15,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.18,0.16,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.18,0.17,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.18,0.18,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.19,0.0,0.9678,0.8509,0.8961,0.8201,0.9665,0.9676,0.9678,0.9678,0.9754,0.8908,0.9464,0.8413
0.19,0.01,0.8788,0.6803,0.6142,0.8367,0.9002,0.9384,0.8788,0.8788,0.8902,0.6667,0.5225,0.9206
0.19,0.02,0.9299,0.7504,0.6913,0.845,0.937,0.9495,0.9299,0.9299,0.9413,0.7891,0.6905,0.9206
0.19,0.03,0.9508,0.7951,0.7546,0.8484,0.9535,0.958,0.9508,0.9508,0.9621,0.8529,0.7945,0.9206
0.19,0.04,0.9564,0.8071,0.7849,0.8367,0.9578,0.9601,0.9564,0.9564,0.9678,0.8702,0.8382,0.9048
0.19,0.05,0.9621,0.8235,0.8277,0.8376,0.963,0.9664,0.9621,0.9621,0.9735,0.8906,0.8769,0.9048
0.19,0.06,0.9659,0.8493,0.8597,0.8557,0.9661,0.9686,0.9659,0.9659,0.9735,0.8889,0.8889,0.8889
0.19,0.07,0.9678,0.856,0.8708,0.8561,0.9677,0.9698,0.9678,0.9678,0.9754,0.896,0.9032,0.8889
0.19,0.08,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.19,0.09,0.9697,0.8645,0.8867,0.8564,0.9696,0.9715,0.9697,0.9697,0.9773,0.9032,0.918,0.8889
0.19,0.1,0.9678,0.8539,0.8824,0.8385,0.9675,0.9692,0.9678,0.9678,0.9754,0.8943,0.9167,0.873
0.19,0.11,0.9659,0.8481,0.8813,0.829,0.9655,0.9672,0.9659,0.9659,0.9735,0.8852,0.9153,0.8571
0.19,0.12,0.9659,0.8481,0.8813,0.829,0.9655,0.9672,0.9659,0.9659,0.9735,0.8852,0.9153,0.8571
0.19,0.13,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
0.19,0.14,0.9678,0.8524,0.8887,0.8293,0.967,0.9683,0.9678,0.9678,0.9754,0.8926,0.931,0.8571
